SUB_HAP,SUB_SAT,SUB_SLP,DIC_PAR,DIC_FRI,DIC_OTH,ULT_PRO_PAR,ULT_PRO_FRI,ULT_PRO_OTH,ULT_REC_PAR,ULT_REC_FRI,ULT_REC_OTH,TRU_PAR,TRU_FRI,TRU_OTH,SPN_UNM,SPN_THK,SPN_FEA,SPN_LIV,SPN_IMP,KAN_SEC,KAN_THI,KAN_SUP,KAN_PRD,KAN_KYK,DED_SHI,DED_TEN,DED_JIG,DED_KIS,DED_PUN,SEX_IMP,SEX_MAS,SEX_SEX,SEX_OBJ,SEX_NIN,SEX_NNA,SEX_IMP_num,SEX_MAS_nen,SEX_SEX_nen,SEX_NIN_cen,F_SEX,F_GEN_2,F_GEN,F_FGR,F_INK,F_INS,F_INK_cen,F_INS_cen,F_TAN,ARE,PRE,MAR,CHI,ID
3,2,4,10,5,0,10,5,0,5,5,1,10,10,5,2,3,3,3,3,3,2,3,2,3,2,2,2,3,3,,,,,,5,,,,,male,40_af,40dai,Mas_Shu,y0,y200-400,0,3,Tab(iOS_iPad),Kanto,13,Married,Child,777
8,0,4,5,2,0,0,2,2,5,5,3,6,4,3,3,3,4,3,3,2,2,2,3,3,3,3,3,3,3,5,,,Isei,N5-7nin,2,5,,,6,female,40_af,40dai,Kou_Sotsu,y1-200,y400-600,1,5,SMA(iOS_iPhone),Chubu,23,Married,Child,778
7,4,5,3,0,0,5,5,5,2,2,2,10,5,2,1,4,3,3,4,1,1,4,3,3,2,2,2,2,4,4,,,Isei,N4-5nin,2,4,,,4.5,female,40_bf,40dai,Sen_Sotsu,y1-200,y800-1000,1,9,PC(Windows),Kanto,12,Married,Child,779
6,3,5,10,5,0,5,5,0,5,5,0,5,5,0,3,3,4,3,4,2,3,3,2,3,4,2,2,3,2,3,4,,Isei,N2-3nin,1,3,12,,2.5,male,40_af,40dai,Kou_Sotsu,y200-400,y200-400,3,3,SMA(android),Kyushu,47,Married,Child,780
5,5,3,6,5,3,6,4,2,4,4,6,7,5,4,2,3,3,3,3,3,2,2,3,3,3,3,3,4,3,2,,,,,4,2,,,,female,40_bf,40dai,Kou_Sotsu,y0,Unknown,0,,SMA(android),Kinki,27,Married,Child,781
5,3,0,10,10,10,5,5,5,3,3,3,6,6,6,3,3,3,4,4,3,2,3,3,4,4,3,3,4,1,5,,,Ryoho,,3,5,,,,female,20_bf,20dai,Kou_Sotsu,y0,Unknown,0,,SMA(iOS_iPhone),Chugoku,34,NotMarried,NoChild,782
6,4,5,5,2,1,5,2,1,5,2,1,5,2,1,2,3,3,2,3,3,3,2,2,3,3,3,3,3,4,4,4,4,Isei,N5-7nin,0,4,12,12,6,female,30_bf,30dai,Dai_Sotsu,y200-400,y200-400,3,3,SMA(iOS_iPhone),Kanto,12,Married,Child,783
8,8,7,3,2,0,5,5,5,6,5,5,10,8,8,3,3,3,4,4,2,1,2,3,3,3,2,2,3,3,4,,,Hoka,N2-3nin,2,4,,,2.5,female,40_af,40dai,Kou_Sotsu,y1-200,y400-600,1,5,SMA(iOS_iPhone),Kanto,14,Married,Child,784
10,10,8,10,10,10,10,10,10,0,0,0,10,10,10,3,4,4,4,4,1,3,3,2,2,4,3,3,4,4,2,0,,Isei,,2,2,0,,,female,30_af,30dai,Kou_Chu,y1-200,y1-200,1,1,SMA(android),Kyushu,46,NotMarried,Child,785
8,6,10,3,1,0,3,5,2,3,5,2,10,5,0,2,2,2,2,3,1,1,1,1,3,2,2,2,3,3,6,7,,Isei,N5-7nin,1,6,130,,6,male,30_af,30dai,Dai_Sotsu,y800-1000,y800-1000,9,9,PC(Windows),Chubu,23,Married,Child,786
4,2,5,5,5,0,5,5,0,5,5,0,5,5,0,3,2,3,3,2,2,2,2,2,3,3,3,3,3,3,3,7,6,Isei,,1,3,130,52,,male,20_af,20dai,Kou_Sotsu,y1-200,y1-200,1,1,SMA(iOS_iPhone),Chugoku,32,NotMarried,NoChild,787
7,7,10,5,1,0,5,3,2,5,3,1,7,5,4,1,2,3,1,4,3,2,1,2,3,2,3,3,3,3,4,7,1,Isei,N2-3nin,0,4,130,1,2.5,male,40_bf,40dai,Kou_Sotsu,y400-600,y600-800,5,7,PC(Windows),Kinki,30,Married,Child,788
1,1,0,10,5,0,7,4,0,5,2,0,5,2,0,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,6,1,Isei,N101nin-,0,1,52,1,101,male,30_af,30dai,Dai_Sotsu,y200-400,y200-400,3,3,PC(Windows),Kyushu,40,NotMarried,NoChild,789
10,8,8,10,10,5,5,5,5,1,1,1,1,1,1,4,4,4,4,4,2,2,3,2,4,3,4,3,4,4,4,,6,Isei,,2,4,,52,,female,50_bf,50dai,Kou_Sotsu,y200-400,y200-400,3,3,SMA(android),Kanto,13,NotMarried,Child,790
2,1,7,5,5,0,5,5,5,5,5,5,10,10,0,3,4,3,3,4,2,3,3,3,3,3,3,3,3,3,4,,,Isei,,3,4,,,,male,40_af,40dai,Kou_Sotsu,y400-600,y400-600,5,5,SMA(android),Kanto,12,NotMarried,NoChild,791
4,3,8,5,3,3,5,5,5,5,5,5,5,3,3,2,3,4,3,4,3,3,2,1,3,2,2,3,3,2,2,0,,Isei,,2,2,0,,,female,30_af,30dai,Sen_Sotsu,y200-400,y200-400,3,3,PC(Windows),Tohoku,6,NotMarried,NoChild,792
3,3,8,5,3,1,5,3,1,5,3,1,5,3,1,3,2,4,3,3,3,4,3,4,3,3,3,3,3,3,,,,Isei,,4,,,,,female,40_bf,40dai,Sen_Sotsu,y200-400,y200-400,3,3,PC(Windows),Tohoku,4,Married,Child,793
